,word,score
0,pente,6884
0,penty,6672
0,penta,6030
0,pentd,6019
0,penns,9330
0,penne,6730
0,penny,6518
0,penna,5876
0,pennd,5865
0,peoes,10970
0,peoee,8370
0,peoey,8158
0,peoea,7516
0,peoed,7505
0,peoas,9758
0,peoae,7158
0,peoay,6946
0,peoaa,6304
0,peoad,6293
0,peois,9487
0,peoie,6887
0,peoiy,6675
0,peoia,6033
0,peoid,6022
0,peots,9478
0,peote,6878
0,peoty,6666
0,peota,6024
0,peotd,6013
0,peons,9324
0,peone,6724
0,peony,6512
0,peona,5870
0,peond,5859
0,piaes,10972
0,piaee,8372
0,piaey,8160
0,piaea,7518
0,piaed,7507
0,piaas,9760
0,piaae,7160
0,piaay,6948
0,piaaa,6306
0,piaad,6295
0,piais,9489
0,piaie,6889
0,piaiy,6677
0,piaia,6035
0,piaid,6024
0,piats,9480
0,piate,6880
0,piaty,6668
0,piata,6026
0,piatd,6015
0,pians,9326
0,piane,6726
0,piany,6514
0,piana,5872
0,piand,5861
0,pires,10952
0,piree,8352
0,pirey,8140
0,pirea,7498
0,pired,7487
0,piras,9740
0,pirae,7140
0,piray,6928
0,piraa,6286
0,pirad,6275
0,piris,9469
0,pirie,6869
0,piriy,6657
0,piria,6015
0,pirid,6004
0,pirts,9460
0,pirte,6860
0,pirty,6648
0,pirta,6006
0,pirtd,5995
0,pirns,9306
0,pirne,6706
0,pirny,6494
0,pirna,5852
0,pirnd,5841
0,piies,10771
0,piiee,8171
0,piiey,7959
0,piiea,7317
0,piied,7306
0,piias,9559
0,piiae,6959
0,piiay,6747
0,piiaa,6105
0,piiad,6094
0,piiis,9288
0,piiie,6688
0,piiiy,6476
0,piiia,5834
0,piiid,5823
0,piits,9279
0,piite,6679
0,piity,6467
0,piita,5825
0,piitd,5814
0,piins,9125
0,piine,6525
0,piiny,6313
0,piina,5671
0,piind,5660
0,pines,10717
0,pinee,8117
0,piney,7905
0,pinea,7263
0,pined,7252
0,pinas,9505
0,pinae,6905
0,pinay,6693
0,pinaa,6051
0,pinad,6040
0,pinis,9234
0,pinie,6634
0,piniy,6422
0,pinia,5780
0,pinid,5769
0,pints,9225
0,pinte,6625
0,pinty,6413
0,pinta,5771
0,pintd,5760
0,pinns,9071
0,pinne,6471
0,pinny,6259
0,pinna,5617
0,pinnd,5606
0,pioes,10711
0,pioee,8111
0,pioey,7899
0,pioea,7257
0,pioed,7246
0,pioas,9499
0,pioae,6899
0,pioay,6687
0,pioaa,6045
0,pioad,6034
0,piois,9228
0,pioie,6628
0,pioiy,6416
0,pioia,5774
0,pioid,5763
0,piots,9219
0,piote,6619
0,pioty,6407
0,piota,5765
0,piotd,5754
0,pions,9065
0,pione,6465
0,piony,6253
0,piona,5611
0,piond,5600
0,puaes,10742
0,puaee,8142
0,puaey,7930
0,puaea,7288
0,puaed,7277
0,puaas,9530
0,puaae,6930
0,puaay,6718
0,puaaa,6076
0,puaad,6065
0,puais,9259
0,puaie,6659
0,puaiy,6447
0,puaia,5805
0,puaid,5794
0,puats,9250
0,puate,6650
0,puaty,6438
0,puata,5796
0,puatd,5785
0,puans,9096
0,puane,6496
0,puany,6284
0,puana,5642
0,puand,5631
0,pures,10722
0,puree,8122
0,purey,7910
0,purea,7268
0,pured,7257
0,puras,9510
0,purae,6910
0,puray,6698
0,puraa,6056
0,purad,6045
0,puris,9239
0,purie,6639
0,puriy,6427
0,puria,5785
0,purid,5774
0,purts,9230
0,purte,6630
0,purty,6418
0,purta,5776
0,purtd,5765
0,purns,9076
0,purne,6476
0,purny,6264
0,purna,5622
0,purnd,5611
0,puies,10541
0,puiee,7941
0,puiey,7729
0,puiea,7087
0,puied,7076
0,puias,9329
0,puiae,6729
0,puiay,6517
0,puiaa,5875
0,puiad,5864
0,puiis,9058
0,puiie,6458
0,puiiy,6246
0,puiia,5604
0,puiid,5593
0,puits,9049
0,puite,6449
0,puity,6237
0,puita,5595
0,puitd,5584
0,puins,8895
0,puine,6295
0,puiny,6083
0,puina,5441
0,puind,5430
0,punes,10487
0,punee,7887
0,puney,7675
0,punea,7033
0,puned,7022
0,punas,9275
0,punae,6675
0,punay,6463
0,punaa,5821
0,punad,5810
0,punis,9004
0,punie,6404
0,puniy,6192
0,punia,5550
0,punid,5539
0,punts,8995
0,punte,6395
0,punty,6183
0,punta,5541
0,puntd,5530
0,punns,8841
0,punne,6241
0,punny,6029
0,punna,5387
0,punnd,5376
0,puoes,10481
0,puoee,7881
0,puoey,7669
0,puoea,7027
0,puoed,7016
0,puoas,9269
0,puoae,6669
0,puoay,6457
0,puoaa,5815
0,puoad,5804
0,puois,8998
0,puoie,6398
0,puoiy,6186
0,puoia,5544
0,puoid,5533
0,puots,8989
0,puote,6389
0,puoty,6177
0,puota,5535
0,puotd,5524
0,puons,8835
0,puone,6235
0,puony,6023
0,puona,5381
0,puond,5370
0,baaes,11929
0,baaee,9329
0,baaey,9117
0,baaea,8475
0,baaed,8464
0,baaas,10717
0,baaae,8117
0,baaay,7905
0,baaaa,7263
0,baaad,7252
0,baais,10446
0,baaie,7846
0,baaiy,7634
0,baaia,6992
0,baaid,6981
0,baats,10437
0,baate,7837
0,baaty,7625
0,baata,6983
0,baatd,6972
0,baans,10283
0,baane,7683
0,baany,7471
0,baana,6829
0,baand,6818
0,bares,11909
0,baree,9309
0,barey,9097
0,barea,8455
0,bared,8444
0,baras,10697
0,barae,8097
0,baray,7885
0,baraa,7243
0,barad,7232
0,baris,10426
0,barie,7826
0,bariy,7614
0,baria,6972
0,barid,6961
0,barts,10417
0,barte,7817
0,barty,7605
0,barta,6963
0,bartd,6952
0,barns,10263
0,barne,7663
0,barny,7451
0,barna,6809
0,barnd,6798
0,baies,11728
0,baiee,9128
0,baiey,8916
0,baiea,8274
0,baied,8263
0,baias,10516
0,baiae,7916
0,baiay,7704
0,baiaa,7062
0,baiad,7051
0,baiis,10245
0,baiie,7645
0,baiiy,7433
0,baiia,6791
0,baiid,6780
0,baits,10236
0,baite,7636
0,baity,7424
0,baita,6782
0,baitd,6771
0,bains,10082
0,baine,7482
0,bainy,7270
0,baina,6628
0,baind,6617
0,banes,11674
0,banee,9074
0,baney,8862
0,banea,8220
0,baned,8209
0,banas,10462
0,banae,7862
0,banay,7650
0,banaa,7008
0,banad,6997
0,banis,10191
0,banie,7591
0,baniy,7379
0,bania,6737
0,banid,6726
0,bants,10182
0,bante,7582
0,banty,7370
0,banta,6728
0,bantd,6717
0,banns,10028
0,banne,7428
0,banny,7216
0,banna,6574
0,bannd,6563
0,baoes,11668
0,baoee,9068
0,baoey,8856
0,baoea,8214
0,baoed,8203
0,baoas,10456
0,baoae,7856
0,baoay,7644
0,baoaa,7002
0,baoad,6991
0,baois,10185
0,baoie,7585
0,baoiy,7373
0,baoia,6731
0,baoid,6720
0,baots,10176
0,baote,7576
0,baoty,7364
0,baota,6722
0,baotd,6711
0,baons,10022
0,baone,7422
0,baony,7210
0,baona,6568
0,baond,6557
0,boaes,11661
0,boaee,9061
0,boaey,8849
0,boaea,8207
0,boaed,8196
0,boaas,10449
0,boaae,7849
0,boaay,7637
0,boaaa,6995
0,boaad,6984
0,boais,10178
0,boaie,7578
0,boaiy,7366
0,boaia,6724
0,boaid,6713
0,boats,10169
0,boate,7569
0,boaty,7357
0,boata,6715
0,boatd,6704
0,boans,10015
0,boane,7415
0,boany,7203
0,boana,6561
0,boand,6550
0,bores,11641
0,boree,9041
0,borey,8829
0,borea,8187
0,bored,8176
0,boras,10429
0,borae,7829
0,boray,7617
0,boraa,6975
0,borad,6964
0,boris,10158
0,borie,7558
0,boriy,7346
0,boria,6704
0,borid,6693
0,borts,10149
0,borte,7549
0,borty,7337
0,borta,6695
0,bortd,6684
0,borns,9995
0,borne,7395
0,borny,7183
0,borna,6541
0,bornd,6530
0,boies,11460
0,boiee,8860
0,boiey,8648
0,boiea,8006
0,boied,7995
0,boias,10248
0,boiae,7648
0,boiay,7436
0,boiaa,6794
0,boiad,6783
0,boiis,9977
0,boiie,7377
0,boiiy,7165
0,boiia,6523
0,boiid,6512
0,boits,9968
0,boite,7368
0,boity,7156
0,boita,6514
0,boitd,6503
0,boins,9814
0,boine,7214
0,boiny,7002
0,boina,6360
0,boind,6349
0,bones,11406
0,bonee,8806
0,boney,8594
0,bonea,7952
0,boned,7941
0,bonas,10194
0,bonae,7594
0,bonay,7382
0,bonaa,6740
0,bonad,6729
0,bonis,9923
0,bonie,7323
0,boniy,7111
0,bonia,6469
0,bonid,6458
0,bonts,9914
0,bonte,7314
0,bonty,7102
0,bonta,6460
0,bontd,6449
0,bonns,9760
0,bonne,7160
0,bonny,6948
0,bonna,6306
0,bonnd,6295
0,booes,11400
0,booee,8800
0,booey,8588
0,booea,7946
0,booed,7935
0,booas,10188
0,booae,7588
0,booay,7376
0,booaa,6734
0,booad,6723
0,boois,9917
0,booie,7317
0,booiy,7105
0,booia,6463
0,booid,6452
0,boots,9908
0,boote,7308
0,booty,7096
0,boota,6454
0,bootd,6443
0,boons,9754
0,boone,7154
0,boony,6942
0,boona,6300
0,boond,6289
0,beaes,11104
0,beaee,8504
0,beaey,8292
0,beaea,7650
0,beaed,7639
0,beaas,9892
0,beaae,7292
0,beaay,7080
0,beaaa,6438
0,beaad,6427
0,beais,9621
0,beaie,7021
0,beaiy,6809
0,beaia,6167
0,beaid,6156
0,beats,9612
0,beate,7012
0,beaty,6800
0,beata,6158
0,beatd,6147
0,beans,9458
0,beane,6858
0,beany,6646
0,beana,6004
0,beand,5993
0,beres,11084
0,beree,8484
0,berey,8272
0,berea,7630
0,bered,7619
0,beras,9872
0,berae,7272
0,beray,7060
0,beraa,6418
0,berad,6407
0,beris,9601
0,berie,7001
0,beriy,6789
0,beria,6147
0,berid,6136
0,berts,9592
0,berte,6992
0,berty,6780
0,berta,6138
0,bertd,6127
0,berns,9438
0,berne,6838
0,berny,6626
0,berna,5984
0,bernd,5973
0,beies,10903
0,beiee,8303
0,beiey,8091
0,beiea,7449
0,beied,7438
0,beias,9691
0,beiae,7091
0,beiay,6879
0,beiaa,6237
0,beiad,6226
0,beiis,9420
0,beiie,6820
0,beiiy,6608
0,beiia,5966
0,beiid,5955
0,beits,9411
0,beite,6811
0,beity,6599
0,beita,5957
0,beitd,5946
0,beins,9257
0,beine,6657
0,beiny,6445
0,beina,5803
0,beind,5792
0,benes,10849
0,benee,8249
0,beney,8037
0,benea,7395
0,bened,7384
0,benas,9637
0,benae,7037
0,benay,6825
0,benaa,6183
0,benad,6172
0,benis,9366
0,benie,6766
0,beniy,6554
0,benia,5912
0,benid,5901
0,bents,9357
0,bente,6757
0,benty,6545
0,benta,5903
0,bentd,5892
0,benns,9203
0,benne,6603
0,benny,6391
0,benna,5749
0,bennd,5738
0,beoes,10843
0,beoee,8243
0,beoey,8031
0,beoea,7389
0,beoed,7378
0,beoas,9631
0,beoae,7031
0,beoay,6819
0,beoaa,6177
0,beoad,6166
0,beois,9360
0,beoie,6760
0,beoiy,6548
0,beoia,5906
0,beoid,5895
0,beots,9351
0,beote,6751
0,beoty,6539
0,beota,5897
0,beotd,5886
0,beons,9197
0,beone,6597
0,beony,6385
0,beona,5743
0,beond,5732
0,biaes,10845
0,biaee,8245
0,biaey,8033
0,biaea,7391
